Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt
487,CMN,94536,835000,0,3,Downtown / BART,False
488,DR,94536,835100,0,3,Centerville,False
489,AVE,94538,832610,1,3,Centerville,True
490,AVE,94536,835300,0,3,Downtown / BART,True
491,ST,94538,835310,0,3,Downtown / BART,True
492,ST,94538,832800,0,3,Centerville,False
493,RD,94538,832900,0,3,Centerville,False
494,ST,94536,835420,0,3,Downtown / BART,False
495,ST,94538,832800,0,3,Centerville,False
496,CT,94536,835400,0,3,Downtown / BART,False
497,AVE,94538,835310,0,3,Downtown / BART,True
498,DR,94538,832900,0,3,Centerville,False
499,WAY,94536,832400,0,3,Centerville,False
500,DR,94538,832810,0,3,Centerville,False
501,CMN,94538,835310,0,3,Downtown / BART,False
502,ST,94536,835200,0,3,Centerville,True
503,WAY,94538,832900,0,3,Centerville,False
504,ST,94536,835300,0,3,Downtown / BART,True
505,CMN,94536,835500,0,3,Downtown / BART,False
506,AVE,94538,832710,0,3,Centerville,False
507,BLVD,94538,835310,0,3,Downtown / BART,True
508,CMN,94538,835310,0,3,Downtown / BART,False
509,ST,94538,832800,0,3,Centerville,False
510,CMN,94538,832610,1,3,Centerville,False
511,CT,94538,832710,0,3,Centerville,False
512,PL,94538,832910,0,3,Centerville,False
513,CMN,94538,832610,1,3,Centerville,False
514,LN,94538,832700,1,3,Centerville,False
515,LOOP,94536,835010,0,3,Centerville,False
516,BLVD,94538,832700,2,3,Centerville,False
517,BLVD,94538,832700,2,3,Centerville,True
518,DR,94538,832810,0,3,Centerville,False
519,BLVD,94538,832700,2,3,Centerville,True
520,WAY,94538,832610,2,3,Centerville,True
521,CMN,94538,832610,1,3,Centerville,False
522,AVE,94536,835040,0,3,Downtown / BART,False
523,BLVD,94538,832700,2,3,Centerville,True
524,DR,94536,832400,0,3,Centerville,False
525,WAY,94536,835040,0,3,Downtown / BART,False
526,WAY,94538,832710,0,3,Centerville,False
527,RD,94538,832900,0,3,Centerville,False
528,ST,94536,835200,0,3,Centerville,True
529,CMN,94538,835310,0,3,Downtown / BART,False
530,CMN,94538,835310,0,3,Downtown / BART,False
531,CMN,94536,835420,0,3,Downtown / BART,False
532,CT,94538,832900,0,3,Centerville,False
533,PL,94538,832910,0,3,Centerville,False
534,DR,94536,835400,0,3,Downtown / BART,False
535,AVE,94538,835300,0,3,Downtown / BART,True
536,BLVD,94538,835310,0,3,Downtown / BART,True
537,WAY,94538,832620,2,3,Centerville,False
538,DR,94538,832610,2,3,Centerville,True
539,DR,94536,835300,0,3,Downtown / BART,True
540,AVE,94538,832810,0,3,Centerville,False
541,RD,94538,832810,0,3,Centerville,False
542,TER,94538,832610,1,3,Centerville,False
543,TER,94538,832610,1,3,Centerville,False
544,WAY,94536,832210,1,3,Centerville,False
545,AVE,94538,835300,0,3,Downtown / BART,True
546,AVE,94536,835500,0,3,Downtown / BART,True
547,DR,94538,832810,0,3,Centerville,False
548,CMN,94536,835400,0,3,Downtown / BART,False
549,BLVD,94538,835310,0,3,Downtown / BART,True
550,AVE,94538,832400,0,3,Centerville,True
551,CT,94536,835010,0,3,Centerville,False
552,ST,94536,835300,0,3,Downtown / BART,True
553,WAY,94536,832400,0,3,Centerville,False
554,AVE,94538,832400,0,3,Centerville,False
555,DR,94538,832600,1,3,Centerville,False
556,ST,94536,835000,0,3,Downtown / BART,True
557,DR,94536,835100,0,3,Centerville,False
558,AVE,94538,835300,0,3,Downtown / BART,True
559,CT,94538,832800,0,3,Centerville,False
560,CMN,94538,835310,0,3,Downtown / BART,False
561,CT,94536,835420,0,3,Downtown / BART,False
562,ST,94538,832800,0,3,Centerville,False
563,CT,94538,832800,0,3,Centerville,False
564,AVE,94538,832610,1,3,Centerville,False
565,AVE,94538,835300,0,3,Downtown / BART,True
566,BLVD,94536,835300,0,3,Downtown / BART,True
567,PKWY,94536,835300,0,3,Downtown / BART,True
568,CIR,94536,835400,0,3,Downtown / BART,False
569,CMN,94536,835300,0,3,Downtown / BART,False
570,AVE,94536,835040,0,3,Downtown / BART,False
571,CMN,94536,835000,0,3,Downtown / BART,False
572,RD,94538,832600,1,3,Centerville,False
573,ST,94538,832810,0,3,Centerville,False
574,LN,94538,832810,0,3,Centerville,False
575,WAY,94536,832110,0,3,Centerville,False
576,PKWY,94536,835300,0,3,Downtown / BART,True
577,CT,94536,835500,0,3,Downtown / BART,False
578,ST,94536,835300,0,3,Downtown / BART,True
579,DR,94536,835300,0,3,Downtown / BART,True
580,TER,94538,835420,0,3,Downtown / BART,False
581,DR,94538,832620,1,3,Centerville,False
