Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt
531,ST,94536,835000,0,3,Downtown / BART,True
532,CMN,94538,835310,0,3,Downtown / BART,False
533,DR,94536,835100,0,3,Centerville,False
534,ST,94536,835000,0,3,Downtown / BART,True
535,ST,94536,835000,0,3,Downtown / BART,True
536,BLVD,94538,835310,0,3,Downtown / BART,True
537,CMN,94536,835100,0,3,Centerville,False
538,AVE,94536,835040,0,3,Downtown / BART,False
539,WAY,94536,835040,0,3,Downtown / BART,False
540,DR,94536,835300,0,3,Downtown / BART,True
541,DR,94538,832620,2,3,Centerville,True
542,CMN,94536,832110,0,3,Centerville,False
543,ST,94536,832110,0,3,Centerville,False
544,CMN,94538,835310,0,3,Downtown / BART,False
545,CMN,94536,835000,0,3,Downtown / BART,False
546,TER,94536,835500,0,3,Downtown / BART,False
547,DR,94536,835100,0,3,Centerville,False
548,CMN,94538,835310,0,3,Downtown / BART,False
549,AVE,94538,832600,1,3,Centerville,False
550,AVE,94538,832400,0,3,Centerville,True
551,TER,94536,835100,0,3,Centerville,True
552,DR,94538,832810,0,3,Centerville,False
553,DR,94538,832800,0,3,Centerville,False
554,ST,94536,835010,0,3,Centerville,False
555,BLVD,94538,832700,1,3,Centerville,True
556,CT,94538,832600,1,3,Centerville,False
557,PL,94536,835000,0,3,Downtown / BART,False
558,DR,94536,835400,0,3,Downtown / BART,False
559,WAY,94538,832600,1,3,Centerville,True
560,DR,94538,832810,0,3,Centerville,False
561,ST,94536,835200,0,3,Centerville,True
562,CT,94536,835400,0,3,Downtown / BART,False
563,CMN,94538,835310,0,3,Downtown / BART,False
564,AVE,94538,835310,0,3,Downtown / BART,True
565,CT,94538,832600,1,3,Centerville,False
566,CT,94536,835400,0,3,Downtown / BART,False
567,DR,94538,835310,0,3,Downtown / BART,True
568,ST,94536,835300,0,3,Downtown / BART,True
569,CT,94538,832710,0,3,Centerville,False
570,CT,94538,832900,0,3,Centerville,False
571,RD,94538,832900,0,3,Centerville,False
572,BLVD,94538,835310,0,3,Downtown / BART,True
573,AVE,94536,835200,0,3,Centerville,True
574,ST,94536,835410,0,3,Downtown / BART,False
575,AVE,94536,835420,0,3,Downtown / BART,False
576,AVE,94538,832400,0,3,Centerville,True
577,CMN,94536,835100,0,3,Centerville,False
578,PL,94536,835500,0,3,Downtown / BART,False
579,CMN,94536,835420,0,3,Downtown / BART,False
580,CT,94538,832800,0,3,Centerville,False
581,PL,94536,835000,0,3,Downtown / BART,False
