Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt,cHid
376,CMN,94538,835310,0,3,Downtown / BART,False,376
377,BLVD,94538,835310,0,3,Downtown / BART,True,377
378,DR,94538,832810,0,3,Centerville,False,378
379,WAY,94538,832600,1,3,Centerville,True,379
380,AVE,94538,835300,0,3,Downtown / BART,True,380
381,AVE,94536,835040,0,3,Downtown / BART,False,381
382,ST,94538,835310,0,3,Downtown / BART,True,382
383,DR,94538,832810,0,3,Centerville,False,383
384,ST,94538,832810,0,3,Centerville,False,384
385,RD,94538,832900,0,3,Centerville,False,385
386,CMN,94538,835310,0,3,Downtown / BART,False,386
387,ST,94538,835310,0,3,Downtown / BART,True,387
388,WAY,94538,832610,2,3,Centerville,True,388
389,AVE,94538,832600,1,3,Centerville,True,389
390,ST,94536,835040,0,3,Downtown / BART,False,390
391,RD,94538,832900,0,3,Centerville,False,391
392,WAY,94538,832620,2,3,Centerville,False,392
393,AVE,94538,835300,0,3,Downtown / BART,True,393
394,AVE,94538,832600,1,3,Centerville,True,394
395,WAY,94538,832710,0,3,Centerville,False,395
396,WAY,94536,835100,0,3,Centerville,False,396
397,PL,94536,835000,0,3,Downtown / BART,False,397
398,BLVD,94538,835310,0,3,Downtown / BART,True,398
399,AVE,94536,835040,0,3,Downtown / BART,False,399
400,DR,94538,832810,0,3,Centerville,False,400
401,WAY,94536,832210,2,3,Centerville,False,401
402,TER,94536,835500,0,3,Downtown / BART,False,402
403,BLVD,94538,832700,2,3,Centerville,True,403
404,RD,94538,832810,0,3,Centerville,False,404
405,TER,94536,835500,0,3,Downtown / BART,False,405
406,BLVD,94536,832210,1,3,Centerville,True,406
407,DR,94538,832810,0,3,Centerville,False,407
408,DR,94538,832900,0,3,Centerville,False,408
409,DR,94536,831730,0,3,Downtown / BART,False,409
410,LN,94538,832700,1,3,Centerville,False,410
411,WAY,94538,832600,1,3,Centerville,True,411
412,CMN,94536,835100,0,3,Centerville,True,412
413,CT,94538,832710,0,3,Centerville,False,413
414,DR,94536,832110,0,3,Centerville,False,414
415,GRN,94536,835400,0,3,Downtown / BART,False,415
416,WAY,94536,832400,0,3,Centerville,False,416
417,CMN,94538,835310,0,3,Downtown / BART,False,417
418,AVE,94538,835300,0,3,Downtown / BART,False,418
419,DR,94538,832810,0,3,Centerville,False,419
